tenant_name,apartment_number,lease_start_date,lease_end_date,payment_date,payment_status,delay_days,tenant_email,zip_code
John Smith,15C,13-12-2023,15-12-2024,13-12-2023,On time,0,john.smith@example.com,90001
John Smith,15C,13-12-2023,15-12-2024,12-01-2024,On time,0,john.smith@example.com,90001
John Smith,15C,13-12-2023,15-12-2024,11-02-2024,Delayed,8,john.smith@example.com,90001
John Smith,15C,13-12-2023,15-12-2024,12-03-2024,Delayed,7,john.smith@example.com,90001
John Smith,15C,13-12-2023,15-12-2024,11-04-2024,Delayed,5,john.smith@example.com,90001
John Smith,15C,13-12-2023,15-12-2024,11-05-2024,Delayed,8,john.smith@example.com,90001
John Smith,15C,13-12-2023,15-12-2024,10-06-2024,Delayed,6,john.smith@example.com,90001
John Smith,15C,13-12-2023,15-12-2024,10-07-2024,On time,0,john.smith@example.com,90001
John Smith,15C,13-12-2023,15-12-2024,09-08-2024,Delayed,4,john.smith@example.com,90001
John Smith,15C,13-12-2023,15-12-2024,08-09-2024,Delayed,8,john.smith@example.com,90001
John Smith,15C,13-12-2023,15-12-2024,08-10-2024,Delayed,1,john.smith@example.com,90001
John Smith,15C,13-12-2023,15-12-2024,07-11-2024,Delayed,8,john.smith@example.com,90001
John Smith,15C,13-12-2023,15-12-2024,07-12-2024,On time,0,john.smith@example.com,90001
John Smith,15C,13-12-2022,15-12-2024,13-12-2022,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,12-01-2023,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,11-02-2023,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,13-03-2023,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,12-04-2023,Delayed,1,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,12-05-2023,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,11-06-2023,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,11-07-2023,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,10-08-2023,Delayed,3,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,09-09-2023,Delayed,4,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,09-10-2023,Delayed,2,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,08-11-2023,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,08-12-2023,Delayed,6,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,07-01-2024,Delayed,5,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,06-02-2024,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,07-03-2024,Delayed,10,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,06-04-2024,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,06-05-2024,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,05-06-2024,Delayed,7,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,05-07-2024,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,04-08-2024,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,03-09-2024,Delayed,2,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,03-10-2024,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,02-11-2024,On time,0,john.smith@example.com,60601
John Smith,15C,13-12-2022,15-12-2024,02-12-2024,Delayed,7,john.smith@example.com,60601
Alice Brown,8A,13-12-2021,15-12-2024,13-12-2021,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,12-01-2022,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,11-02-2022,Delayed,9,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,13-03-2022,Delayed,10,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,12-04-2022,Delayed,6,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,12-05-2022,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,11-06-2022,Delayed,8,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,11-07-2022,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,10-08-2022,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,09-09-2022,Delayed,2,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,09-10-2022,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,08-11-2022,Delayed,1,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,08-12-2022,Delayed,9,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,07-01-2023,Delayed,2,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,06-02-2023,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,08-03-2023,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,07-04-2023,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,07-05-2023,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,06-06-2023,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,06-07-2023,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,05-08-2023,Delayed,4,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,04-09-2023,Delayed,8,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,04-10-2023,Delayed,3,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,03-11-2023,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,03-12-2023,Delayed,8,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,02-01-2024,Delayed,5,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,01-02-2024,Delayed,4,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,02-03-2024,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,01-04-2024,Delayed,4,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,01-05-2024,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,31-05-2024,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,30-06-2024,Delayed,1,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,30-07-2024,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,29-08-2024,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,28-09-2024,On time,0,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,28-10-2024,Delayed,1,alice.brown@example.com,77001
Alice Brown,8A,13-12-2021,15-12-2024,27-11-2024,On time,0,alice.brown@example.com,77001
Michael Green,5D,13-12-2020,15-12-2024,13-12-2020,On time,0,michael.green@example.com,85001
Michael Green,5D,13-12-2020,15-12-2024,12-01-2021,Delayed,4,michael.green@example.com,85001
Michael Green,5D,13-12-2020,15-12-2024,11-02-2021,Delayed,10,michael.green@example.com,85001
Michael Green,5D,13-12-2020,15-12-2024,13-03-2021,On time,0,michael.green@example.com,85001
Michael Green,5D,13-12-2020,15-12-2024,12-04-2021,On time,0,michael.green@example.com,85001
Michael Green,5D,13-12-2020,15-12-2024,12-05-2021,Delayed,2,michael.green@example.com,85001
Michael Green,5D,13-12-2020,15-12-2024,11-06-2021,On time,0,michael.green@example.com,85001
Michael Green,5D,13-12-2020,15-12-2024,11-07-2021,Delayed,6,michael.green@example.com,85001
Michael Green,5D,13-12-2020,15-12-2024,10-08-2021,On time,0,michael.green@example.com,85001
Michael Green,5D,13-12-2020,15-12-2024,09-09-2021,Delayed,1,michael.green@example.com,85001
Michael Green,5D,13-12-2020,15-12-2024,09-10-2021,On time,0,michael.green@example.com,85001
Michael Green,5D,13-12-2020,15-12-2024,08-11-2021,Delayed,7,michael.green@example.com,85001
Michael Green,5D,13-12-2020,15-12-2024,08-12-2021,Delayed,10,michael.green@example.com,85001
